order_id,line_id,order_date,order_month,customer_id,city,region,sales_channel,payment_method,age_band,loyalty_tier,product_id,category,sub_category,product_name,brand,quantity,unit_price,discount_pct,line_revenue,line_cost,line_margin,returned_flag,return_reason,refund_amount,net_revenue,customer_rating
O00001,L000001,2026-02-12,2026-02,C0398,Kochi,South,App,UPI,25-34,Basic,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,2,1646.97,0,3293.94,1520.0,1773.94,0,Not Returned,0.0,3293.94,4.6
O00002,L000002,2026-05-18,2026-05,C0466,Kochi,South,Website,Credit Card,45-54,Basic,P018,Office,Accessories,Vertical Mouse,KeyCraft,3,1543.97,18,3798.17,2280.0,1518.17,0,Not Returned,0.0,3798.17,4.8
O00004,L000003,2026-01-03,2026-01,C0157,Chennai,South,Website,Credit Card,25-34,Gold,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,1,767.04,6,721.02,260.0,461.02,0,Not Returned,0.0,721.02,4.5
O00005,L000004,2026-05-16,2026-05,C0045,Hyderabad,South,App,Net Banking,25-34,Gold,P016,Office,Accessories,Laptop Stand,WorkNest,1,1324.98,10,1192.48,520.0,672.48,0,Not Returned,0.0,1192.48,4.7
O00006,L000005,2026-02-10,2026-02,C0111,Pune,West,App,Credit Card,25-34,Silver,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1247.04,1,1234.57,610.0,624.57,0,Not Returned,0.0,1234.57,4.2
O00007,L000006,2026-03-12,2026-03,C0441,Chennai,South,App,UPI,35-44,Basic,P007,Fitness,Apparel,Activewear Set,MoveWear,2,2111.04,25,3166.56,2040.0,1126.56,0,Not Returned,0.0,3166.56,4.2
O00008,L000007,2026-01-12,2026-01,C0021,Bengaluru,South,Website,Credit Card,35-44,Silver,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,1,1599.0,9,1455.09,760.0,695.09,0,Not Returned,0.0,1455.09,4.5
O00009,L000008,2026-01-19,2026-01,C0520,Mumbai,West,Website,Credit Card,25-34,Gold,P009,Home,Kitchen,Air Fryer 4L,HomeJoy,1,5999.0,8,5519.08,3950.0,1569.08,0,Not Returned,0.0,5519.08,4.5
O00010,L000009,2026-04-07,2026-04,C0403,Bengaluru,South,Website,UPI,35-44,Gold,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,1,4078.98,2,3997.4,2250.0,1747.4,0,Not Returned,0.0,3997.4,4.8
O00011,L000010,2026-05-26,2026-05,C0252,Pune,West,Marketplace,UPI,25-34,Gold,P035,Travel,Accessories,Luggage Scale,TripEase,2,814.98,2,1597.36,420.0,1177.36,0,Not Returned,0.0,1597.36,4.3
O00012,L000011,2026-03-05,2026-03,C0535,Mumbai,West,Website,UPI,25-34,Basic,P005,Fitness,Accessories,Foam Roller,ZenMove,2,959.04,12,1687.91,820.0,867.91,0,Not Returned,0.0,1687.91,3.9
O00013,L000012,2026-05-01,2026-05,C0080,Pune,West,Website,UPI,18-24,Basic,P011,Home,Storage,Foldable Storage Box,NestEasy,1,771.47,14,663.46,250.0,413.46,0,Not Returned,0.0,663.46,4.0
O00014,L000013,2026-03-13,2026-03,C0035,Hyderabad,South,Website,UPI,35-44,Basic,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,1,3999.0,5,3799.05,2250.0,1549.05,0,Not Returned,0.0,3799.05,4.0
O00015,L000014,2026-01-07,2026-01,C0235,Pune,West,Website,UPI,35-44,Silver,P013,Home,Cleaning,Handheld Vacuum,HomeJoy,1,4319.04,1,4275.85,2950.0,1325.85,0,Not Returned,0.0,4275.85,4.7
O00015,L000015,2026-01-07,2026-01,C0235,Pune,West,Website,UPI,35-44,Silver,P018,Office,Accessories,Vertical Mouse,KeyCraft,1,1499.0,1,1484.01,760.0,724.01,0,Not Returned,0.0,1484.01,4.7
O00016,L000016,2026-01-24,2026-01,C0007,Jaipur,North,App,Credit Card,35-44,Basic,P026,Travel,Bags,Cabin Backpack,TripEase,1,2999.0,15,2549.15,1350.0,1199.15,0,Not Returned,0.0,2549.15,3.8
O00016,L000017,2026-01-24,2026-01,C0007,Jaipur,North,App,Credit Card,35-44,Basic,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,2,814.98,13,1418.07,520.0,898.07,0,Not Returned,0.0,1418.07,3.8
O00017,L000018,2026-01-14,2026-01,C0441,Chennai,South,App,Credit Card,35-44,Basic,P011,Home,Storage,Foldable Storage Box,NestEasy,1,763.98,0,763.98,250.0,513.98,0,Not Returned,0.0,763.98,5.0
O00018,L000019,2026-05-19,2026-05,C0218,Chennai,South,Website,Debit Card,45-54,Basic,P009,Home,Kitchen,Air Fryer 4L,HomeJoy,1,6178.97,0,6178.97,3950.0,2228.97,0,Not Returned,0.0,6178.97,4.5
O00018,L000020,2026-05-19,2026-05,C0218,Chennai,South,Website,Debit Card,45-54,Basic,P021,Wellness,Personal Care,Sleep Mask,CalmCare,1,719.97,0,719.97,220.0,499.97,0,Not Returned,0.0,719.97,4.5
O00018,L000021,2026-05-19,2026-05,C0218,Chennai,South,Website,Debit Card,45-54,Basic,P028,Travel,Accessories,Travel Neck Pillow,TripEase,1,863.04,1,854.41,300.0,554.41,0,Not Returned,0.0,854.41,4.5
O00018,L000022,2026-05-19,2026-05,C0218,Chennai,South,Website,Debit Card,45-54,Basic,P007,Fitness,Apparel,Activewear Set,MoveWear,1,2155.02,0,2155.02,1020.0,1135.02,0,Not Returned,0.0,2155.02,4.5
O00019,L000023,2026-04-11,2026-04,C0425,Ahmedabad,West,App,Debit Card,18-24,Basic,P030,Travel,Bags,Anti-Theft Sling Bag,TripEase,1,1936.98,0,1936.98,760.0,1176.98,0,Not Returned,0.0,1936.98,3.2
O00020,L000024,2026-05-18,2026-05,C0300,Hyderabad,South,Marketplace,UPI,35-44,Basic,P028,Travel,Accessories,Travel Neck Pillow,TripEase,1,899.0,0,899.0,300.0,599.0,0,Not Returned,0.0,899.0,3.7
O00020,L000025,2026-05-18,2026-05,C0300,Hyderabad,South,Marketplace,UPI,35-44,Basic,P002,Fitness,Equipment,Resistance Band Set,FitPulse,1,916.98,1,907.81,320.0,587.81,1,Damaged in transit,817.03,90.77999999999997,3.7
O00021,L000026,2026-03-16,2026-03,C0066,Bengaluru,South,Marketplace,UPI,35-44,Silver,P029,Travel,Tech,Universal Travel Adapter,ConnectPro,1,1567.02,0,1567.02,700.0,867.02,0,Not Returned,0.0,1567.02,3.1
O00021,L000027,2026-03-16,2026-03,C0066,Bengaluru,South,Marketplace,UPI,35-44,Silver,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1337.97,0,1337.97,610.0,727.97,0,Not Returned,0.0,1337.97,3.1
O00021,L000028,2026-03-16,2026-03,C0066,Bengaluru,South,Marketplace,UPI,35-44,Silver,P009,Home,Kitchen,Air Fryer 4L,HomeJoy,2,5999.0,0,11998.0,7900.0,4098.0,0,Not Returned,0.0,11998.0,3.1
O00023,L000029,2026-03-02,2026-03,C0034,Delhi NCR,North,App,UPI,35-44,Basic,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,1,767.04,2,751.7,260.0,491.7,0,Not Returned,0.0,751.7,3.8
O00024,L000030,2026-02-21,2026-02,C0438,Mumbai,West,App,Debit Card,35-44,Basic,P023,Wellness,Hydration,Copper Bottle,PureSip,1,1018.98,3,988.41,360.0,628.41,0,Not Returned,0.0,988.41,5.0
O00025,L000031,2026-04-07,2026-04,C0262,Mumbai,West,App,Debit Card,25-34,Silver,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,1,3919.02,2,3840.64,2250.0,1590.64,0,Not Returned,0.0,3840.64,4.7
O00026,L000032,2026-03-28,2026-03,C0191,Mumbai,West,Website,Cash on Delivery,35-44,Silver,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1499.0,0,1499.0,620.0,879.0,0,Not Returned,0.0,1499.0,4.9
O00027,L000033,2026-05-23,2026-05,C0365,Kochi,South,App,Credit Card,25-34,Basic,P019,Office,Stationery,Planner Notebook,PaperTrail,2,489.02,10,880.24,280.0,600.24,0,Not Returned,0.0,880.24,3.9
O00028,L000034,2026-03-04,2026-03,C0355,Ahmedabad,West,Website,Credit Card,35-44,Basic,P031,Fitness,Equipment,Kettlebell 8KG,IronFlex,2,2495.04,0,4990.08,3200.0,1790.08,0,Not Returned,0.0,4990.08,3.2
O00028,L000035,2026-03-04,2026-03,C0355,Ahmedabad,West,Website,Credit Card,35-44,Basic,P005,Fitness,Accessories,Foam Roller,ZenMove,1,959.04,1,949.45,410.0,539.45,0,Not Returned,0.0,949.45,3.2
O00029,L000036,2026-03-10,2026-03,C0294,Mumbai,West,App,Credit Card,45-54,Basic,P025,Wellness,Mindfulness,Meditation Cushion,ZenMove,1,1763.02,0,1763.02,850.0,913.02,0,Not Returned,0.0,1763.02,4.0
O00030,L000037,2026-05-22,2026-05,C0045,Hyderabad,South,App,UPI,25-34,Gold,P017,Office,Accessories,Wireless Keyboard,KeyCraft,1,1861.02,10,1674.92,1040.0,634.92,0,Not Returned,0.0,1674.92,4.9
O00031,L000038,2026-03-15,2026-03,C0061,Pune,West,Marketplace,UPI,25-34,Silver,P019,Office,Stationery,Planner Notebook,PaperTrail,1,508.98,0,508.98,140.0,368.98,0,Not Returned,0.0,508.98,4.9
O00032,L000039,2026-03-27,2026-03,C0218,Chennai,South,Website,Cash on Delivery,45-54,Basic,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1299.0,18,1065.18,610.0,455.18,1,Changed mind,1011.92,53.260000000000105,4.6
O00033,L000040,2026-02-10,2026-02,C0402,Mumbai,West,App,Debit Card,18-24,Silver,P009,Home,Kitchen,Air Fryer 4L,HomeJoy,1,5759.04,12,5067.96,3950.0,1117.96,1,Damaged in transit,5067.96,0.0,3.9
O00033,L000041,2026-02-10,2026-02,C0402,Mumbai,West,App,Debit Card,18-24,Silver,P034,Wellness,Personal Care,Posture Corrector,CalmCare,1,1247.04,14,1072.45,540.0,532.45,0,Not Returned,0.0,1072.45,3.9
O00034,L000042,2026-03-16,2026-03,C0263,Bengaluru,South,Marketplace,Debit Card,18-24,Silver,P008,Fitness,Apparel,Compression T-Shirt,MoveWear,4,1234.97,6,4643.49,2080.0,2563.49,0,Not Returned,0.0,4643.49,4.2
O00035,L000043,2026-03-10,2026-03,C0187,Bengaluru,South,Website,Credit Card,25-34,Basic,P009,Home,Kitchen,Air Fryer 4L,HomeJoy,2,5879.02,1,11640.46,7900.0,3740.46,0,Not Returned,0.0,11640.46,4.2
O00036,L000044,2026-05-31,2026-05,C0162,Chennai,South,Website,UPI,25-34,Silver,P031,Fitness,Equipment,Kettlebell 8KG,IronFlex,1,2676.97,10,2409.27,1600.0,809.27,0,Not Returned,0.0,2409.27,4.2
O00038,L000045,2026-04-17,2026-04,C0517,Delhi NCR,North,Website,Debit Card,45-54,Basic,P021,Wellness,Personal Care,Sleep Mask,CalmCare,1,699.0,10,629.1,220.0,409.1,0,Not Returned,0.0,629.1,4.4
