line_id,order_id,product_id,quantity,unit_price,discount_pct,line_revenue,line_cost,line_margin
L000001,O00001,P004,2,1646.97,0,3293.94,1520.0,1773.94
L000002,O00002,P018,3,1543.97,18,3798.17,2280.0,1518.17
L000003,O00004,P024,1,767.04,6,721.02,260.0,461.02
L000004,O00005,P016,1,1324.98,10,1192.48,520.0,672.48
L000005,O00006,P001,1,1247.04,1,1234.57,610.0,624.57
L000006,O00007,P007,2,2111.04,25,3166.56,2040.0,1126.56
L000007,O00008,P004,1,1599.0,9,1455.09,760.0,695.09
L000008,O00009,P009,1,5999.0,8,5519.08,3950.0,1569.08
L000009,O00010,P003,1,4078.98,2,3997.4,2250.0,1747.4
L000010,O00011,P035,2,814.98,2,1597.36,420.0,1177.36
L000011,O00012,P005,2,959.04,12,1687.91,820.0,867.91
L000012,O00013,P011,1,771.47,14,663.46,250.0,413.46
L000013,O00014,P003,1,3999.0,5,3799.05,2250.0,1549.05
L000014,O00015,P013,1,4319.04,1,4275.85,2950.0,1325.85
L000015,O00015,P018,1,1499.0,1,1484.01,760.0,724.01
L000016,O00016,P026,1,2999.0,15,2549.15,1350.0,1199.15
L000017,O00016,P024,2,814.98,13,1418.07,520.0,898.07
L000018,O00017,P011,1,763.98,0,763.98,250.0,513.98
L000019,O00018,P009,1,6178.97,0,6178.97,3950.0,2228.97
L000020,O00018,P021,1,719.97,0,719.97,220.0,499.97
L000021,O00018,P028,1,863.04,1,854.41,300.0,554.41
L000022,O00018,P007,1,2155.02,0,2155.02,1020.0,1135.02
L000023,O00019,P030,1,1936.98,0,1936.98,760.0,1176.98
L000024,O00020,P028,1,899.0,0,899.0,300.0,599.0
L000025,O00020,P002,1,916.98,1,907.81,320.0,587.81
L000026,O00021,P029,1,1567.02,0,1567.02,700.0,867.02
L000027,O00021,P001,1,1337.97,0,1337.97,610.0,727.97
L000028,O00021,P009,2,5999.0,0,11998.0,7900.0,4098.0
L000029,O00023,P024,1,767.04,2,751.7,260.0,491.7
L000030,O00024,P023,1,1018.98,3,988.41,360.0,628.41
L000031,O00025,P003,1,3919.02,2,3840.64,2250.0,1590.64
L000032,O00026,P014,1,1499.0,0,1499.0,620.0,879.0
L000033,O00027,P019,2,489.02,10,880.24,280.0,600.24
L000034,O00028,P031,2,2495.04,0,4990.08,3200.0,1790.08
L000035,O00028,P005,1,959.04,1,949.45,410.0,539.45
L000036,O00029,P025,1,1763.02,0,1763.02,850.0,913.02
L000037,O00030,P017,1,1861.02,10,1674.92,1040.0,634.92
L000038,O00031,P019,1,508.98,0,508.98,140.0,368.98
L000039,O00032,P001,1,1299.0,18,1065.18,610.0,455.18
L000040,O00033,P009,1,5759.04,12,5067.96,3950.0,1117.96
L000041,O00033,P034,1,1247.04,14,1072.45,540.0,532.45
L000042,O00034,P008,4,1234.97,6,4643.49,2080.0,2563.49
L000043,O00035,P009,2,5879.02,1,11640.46,7900.0,3740.46
L000044,O00036,P031,1,2676.97,10,2409.27,1600.0,809.27
L000045,O00038,P021,1,699.0,10,629.1,220.0,409.1
L000046,O00039,P033,1,7208.97,19,5839.27,4450.0,1389.27
L000047,O00040,P029,1,1646.97,12,1449.33,700.0,749.33
L000048,O00041,P014,1,1499.0,5,1424.05,620.0,804.05
L000049,O00042,P006,4,2399.04,11,8540.58,5680.0,2860.58
L000050,O00044,P010,3,2999.0,23,6927.69,5130.0,1797.69
L000051,O00045,P015,1,8999.0,11,8009.11,6100.0,1909.11
L000052,O00046,P001,1,1247.04,12,1097.4,610.0,487.4
L000053,O00047,P016,1,1299.0,11,1156.11,520.0,636.11
L000054,O00047,P018,1,1439.04,12,1266.36,760.0,506.36
L000055,O00048,P013,1,4588.98,0,4588.98,2950.0,1638.98
L000056,O00049,P024,1,767.04,0,767.04,260.0,507.04
L000057,O00050,P030,1,1823.04,26,1349.05,760.0,589.05
L000058,O00051,P015,1,8999.0,1,8909.01,6100.0,2809.01
L000059,O00052,P011,1,749.0,0,749.0,250.0,499.0
L000060,O00052,P001,1,1247.04,1,1234.57,610.0,624.57
L000061,O00053,P025,1,1834.98,13,1596.43,850.0,746.43
L000062,O00054,P007,1,2242.98,6,2108.4,1020.0,1088.4
L000063,O00054,P011,1,734.02,8,675.3,250.0,425.3
L000064,O00055,P010,1,2999.0,6,2819.06,1710.0,1109.06
