order_id,customer_id,order_date,sales_channel,city,region,payment_method,order_status,delivery_days,shipping_fee,campaign_id,promo_code,customer_rating,has_return
O00001,C0398,2026-02-12,App,Kochi,South,UPI,Delivered,4,0,,,4.6,0
O00002,C0466,2026-05-18,Website,Kochi,South,Credit Card,Delivered,4,0,CAMP007,UC007,4.8,0
O00003,C0223,2026-02-18,Website,Kochi,South,UPI,Cancelled,,0,,SAVE10,,0
O00004,C0157,2026-01-03,Website,Chennai,South,Credit Card,Delivered,3,0,,SAVE5,4.5,0
O00005,C0045,2026-05-16,App,Hyderabad,South,Net Banking,Delivered,1,99,,SAVE10,4.7,0
O00006,C0111,2026-02-10,App,Pune,West,Credit Card,Delivered,4,79,,,4.2,0
O00007,C0441,2026-03-12,App,Chennai,South,UPI,Delivered,3,0,CAMP004,UC004,4.2,0
O00008,C0021,2026-01-12,Website,Bengaluru,South,Credit Card,Delivered,3,0,,SAVE8,4.5,0
O00009,C0520,2026-01-19,Website,Mumbai,West,Credit Card,Delivered,4,79,CAMP008,UC008,4.5,0
O00010,C0403,2026-04-07,Website,Bengaluru,South,UPI,Delivered,5,49,,,4.8,0
O00011,C0252,2026-05-26,Marketplace,Pune,West,UPI,Delivered,4,0,,,4.3,0
O00012,C0535,2026-03-05,Website,Mumbai,West,UPI,Delivered,4,79,,SAVE10,3.9,0
O00013,C0080,2026-05-01,Website,Pune,West,UPI,Delivered,6,0,CAMP006,UC006,4.0,0
O00014,C0035,2026-03-13,Website,Hyderabad,South,UPI,Delivered,6,49,,SAVE5,4.0,0
O00015,C0235,2026-01-07,Website,Pune,West,UPI,Delivered,4,0,,,4.7,0
O00016,C0007,2026-01-24,App,Jaipur,North,Credit Card,Delivered,5,0,CAMP002,UC002,3.8,0
O00017,C0441,2026-01-14,App,Chennai,South,Credit Card,Delivered,2,0,,,5.0,0
O00018,C0218,2026-05-19,Website,Chennai,South,Debit Card,Delivered,4,49,,,4.5,0
O00019,C0425,2026-04-11,App,Ahmedabad,West,Debit Card,Delivered,6,0,,,3.2,0
O00020,C0300,2026-05-18,Marketplace,Hyderabad,South,UPI,Delivered,5,0,,,3.7,1
O00021,C0066,2026-03-16,Marketplace,Bengaluru,South,UPI,Delivered,8,49,,,3.1,0
O00022,C0268,2026-01-06,Website,Ahmedabad,West,Credit Card,Cancelled,,0,CAMP001,UC001,,0
O00023,C0034,2026-03-02,App,Delhi NCR,North,UPI,Delivered,5,0,,,3.8,0
O00024,C0438,2026-02-21,App,Mumbai,West,Debit Card,Delivered,5,149,,SAVE5,5.0,0
O00025,C0262,2026-04-07,App,Mumbai,West,Debit Card,Delivered,3,149,,,4.7,0
O00026,C0191,2026-03-28,Website,Mumbai,West,Cash on Delivery,Delivered,3,0,,,4.9,0
O00027,C0365,2026-05-23,App,Kochi,South,Credit Card,Delivered,5,0,CAMP009,UC009,3.9,0
O00028,C0355,2026-03-04,Website,Ahmedabad,West,Credit Card,Delivered,6,0,,,3.2,0
O00029,C0294,2026-03-10,App,Mumbai,West,Credit Card,Delivered,5,0,,,4.0,0
O00030,C0045,2026-05-22,App,Hyderabad,South,UPI,Delivered,3,99,CAMP009,UC009,4.9,0
O00031,C0061,2026-03-15,Marketplace,Pune,West,UPI,Delivered,4,0,,,4.9,0
O00032,C0218,2026-03-27,Website,Chennai,South,Cash on Delivery,Delivered,3,0,CAMP005,UC005,4.6,1
O00033,C0402,2026-02-10,App,Mumbai,West,Debit Card,Delivered,4,0,CAMP003,UC003,3.9,1
O00034,C0263,2026-03-16,Marketplace,Bengaluru,South,Debit Card,Delivered,3,0,,SAVE5,4.2,0
O00035,C0187,2026-03-10,Website,Bengaluru,South,Credit Card,Delivered,6,0,,,4.2,0
O00036,C0162,2026-05-31,Website,Chennai,South,UPI,Delivered,3,0,,SAVE8,4.2,0
O00037,C0026,2026-03-19,Marketplace,Chennai,South,Debit Card,Cancelled,,0,,SAVE10,,0
O00038,C0517,2026-04-17,Website,Delhi NCR,North,Debit Card,Delivered,5,0,,SAVE8,4.4,0
O00039,C0475,2026-04-08,Marketplace,Ahmedabad,West,UPI,Delivered,7,0,CAMP005,UC005,3.6,0
O00040,C0370,2026-02-19,Website,Pune,West,Credit Card,Delivered,4,149,,SAVE10,4.5,0
O00041,C0520,2026-03-21,App,Mumbai,West,UPI,Delivered,6,0,,SAVE5,3.1,0
O00042,C0500,2026-03-08,Website,Bengaluru,South,Debit Card,Delivered,1,0,,SAVE10,3.6,0
O00043,C0042,2026-04-21,Marketplace,Bengaluru,South,UPI,Cancelled,,0,,,,0
O00044,C0298,2026-03-11,App,Bengaluru,South,Debit Card,Delivered,2,0,CAMP004,UC004,4.2,0
O00045,C0235,2026-01-15,App,Pune,West,UPI,Delivered,5,0,CAMP001,UC001,4.0,0
O00046,C0314,2026-05-02,App,Delhi NCR,North,Credit Card,Delivered,4,99,CAMP006,UC006,4.3,0
O00047,C0251,2026-01-02,Website,Mumbai,West,UPI,Delivered,4,0,CAMP001,UC001,4.8,0
O00048,C0064,2026-01-19,App,Kochi,South,UPI,Delivered,5,0,,,4.1,0
O00049,C0446,2026-03-16,App,Ahmedabad,West,Credit Card,Delivered,6,99,,,3.9,0
O00050,C0509,2026-03-18,Website,Mumbai,West,Credit Card,Delivered,7,0,CAMP004,UC004,3.8,0
O00051,C0057,2026-04-14,Website,Delhi NCR,North,Debit Card,Delivered,7,0,,,4.1,0
O00052,C0446,2026-01-12,App,Ahmedabad,West,Credit Card,Delivered,4,0,,,3.4,1
O00053,C0298,2026-01-26,Marketplace,Bengaluru,South,Credit Card,Delivered,6,0,CAMP002,UC002,3.8,0
O00054,C0358,2026-02-09,App,Ahmedabad,West,UPI,Delivered,6,149,CAMP008,UC008,3.9,0
O00055,C0034,2026-03-19,Website,Delhi NCR,North,Credit Card,Delivered,6,79,,SAVE5,4.0,0
O00056,C0251,2026-01-24,Website,Mumbai,West,UPI,Delivered,5,49,CAMP002,UC002,4.0,0
O00057,C0129,2026-04-01,Website,Kochi,South,Debit Card,Delivered,4,0,,,3.9,0
O00058,C0423,2026-03-24,Marketplace,Pune,West,UPI,Delivered,6,0,CAMP005,UC005,4.2,0
O00059,C0099,2026-03-28,Website,Chennai,South,Debit Card,Delivered,4,0,CAMP005,UC005,4.6,0
O00060,C0042,2026-04-23,App,Bengaluru,South,Net Banking,Delivered,2,0,,,4.8,0
O00061,C0537,2026-01-02,Website,Kochi,South,Credit Card,Delivered,4,0,,SAVE8,4.5,0
O00062,C0377,2026-01-08,Website,Pune,West,Cash on Delivery,Delivered,3,0,CAMP001,UC001,4.3,0
O00063,C0527,2026-02-20,App,Mumbai,West,UPI,Delivered,4,0,,SAVE10,4.1,0
O00064,C0064,2026-01-26,Website,Kochi,South,Credit Card,Delivered,5,0,CAMP002,UC002,4.5,0
O00065,C0392,2026-03-10,Website,Kochi,South,Credit Card,Delivered,5,0,,,4.4,0
O00066,C0154,2026-05-29,App,Delhi NCR,North,UPI,Delivered,8,79,,SAVE5,3.3,0
O00067,C0294,2026-03-17,App,Mumbai,West,Credit Card,Delivered,3,0,CAMP004,UC004,4.3,0
O00068,C0426,2026-05-12,App,Ahmedabad,West,Net Banking,Delivered,4,49,,SAVE10,4.5,0
O00069,C0144,2026-03-29,App,Mumbai,West,Debit Card,Delivered,4,0,,SAVE5,4.7,0
O00070,C0045,2026-05-19,Website,Hyderabad,South,Credit Card,Delivered,4,0,CAMP009,UC009,3.9,0
O00071,C0184,2026-04-16,Website,Delhi NCR,North,UPI,Delivered,6,0,,SAVE10,4.9,0
O00072,C0500,2026-03-05,App,Bengaluru,South,Credit Card,Delivered,1,0,CAMP004,UC004,5.0,0
O00073,C0487,2026-04-07,App,Hyderabad,South,Credit Card,Delivered,5,99,,,4.5,0
O00074,C0376,2026-04-16,Website,Delhi NCR,North,Credit Card,Delivered,6,49,,,4.0,0
O00075,C0209,2026-03-20,Website,Bengaluru,South,Debit Card,Delivered,1,0,CAMP004,UC004,4.8,0
O00076,C0007,2026-02-22,Website,Jaipur,North,Cash on Delivery,Delivered,6,49,,,3.6,0
O00077,C0080,2026-01-27,Website,Pune,West,Debit Card,Delivered,6,0,CAMP002,UC002,4.1,0
O00078,C0339,2026-05-16,App,Hyderabad,South,Debit Card,Delivered,4,99,CAMP008,UC008,3.3,1
O00079,C0500,2026-02-02,Marketplace,Bengaluru,South,UPI,Delivered,5,0,,SAVE8,4.2,0
O00080,C0462,2026-01-10,Marketplace,Pune,West,UPI,Delivered,3,49,,SAVE5,4.2,0
O00081,C0304,2026-03-22,App,Delhi NCR,North,Credit Card,Delivered,6,0,CAMP004,UC004,3.8,0
O00082,C0514,2026-05-07,Website,Mumbai,West,UPI,Delivered,2,0,,,4.4,0
O00083,C0182,2026-03-11,App,Pune,West,Cash on Delivery,Delivered,7,0,CAMP004,UC004,3.6,0
O00084,C0398,2026-05-11,App,Kochi,South,UPI,Delivered,5,49,CAMP009,UC009,3.8,0
O00085,C0458,2026-04-04,App,Bengaluru,South,Cash on Delivery,Delivered,3,0,,SAVE5,3.7,1
O00086,C0090,2026-01-29,Website,Chennai,South,UPI,Delivered,2,0,CAMP002,UC002,4.7,0
O00087,C0081,2026-02-09,App,Hyderabad,South,UPI,Delivered,4,0,,SAVE8,4.5,0
O00088,C0496,2026-04-07,Website,Hyderabad,South,UPI,Delivered,3,149,,,4.3,0
O00089,C0011,2026-01-22,Website,Hyderabad,South,Net Banking,Delivered,3,49,,,5.0,0
O00090,C0263,2026-04-27,App,Bengaluru,South,Debit Card,Delivered,2,49,CAMP006,UC006,4.4,0
O00091,C0481,2026-02-22,App,Pune,West,Credit Card,Delivered,5,99,CAMP008,UC008,4.7,0
O00092,C0057,2026-02-23,App,Delhi NCR,North,Cash on Delivery,Delivered,4,49,,SAVE8,4.7,0
O00093,C0337,2026-03-07,App,Pune,West,Credit Card,Delivered,4,49,CAMP004,UC004,4.3,0
